,N Rate,prob_1000,prob_1500,prob_2000,prob_2500,EProf,NRCNF
0,0,0.486789142419,0.227769107417,0.070641245926,0.013945735665,1014.4985800017007,0.0
10,10,0.651003552144,0.344881070361,0.12597081731,0.0332908199915,1286.2715920551154,271.77301205341473
20,20,0.758956487547,0.441597663323,0.178967731376,0.0551827898262,1458.709091687688,444.2105116859873
30,30,0.835067306023,0.522986393632,0.2289995218,0.076180415135,1587.430613653411,572.9320336517103
40,40,0.886444488541,0.592644752026,0.276271108135,0.0956806038163,1688.504023548747,674.0054435470463
50,50,0.918170321946,0.650895013683,0.321063930445,0.115096967655,1769.654256755674,755.1556767539732
60,60,0.936847017484,0.697014010043,0.361517359853,0.13407535102,1835.4421151238435,820.9435351221427
70,70,0.948227181174,0.73127171618,0.39697777423,0.151419345126,1888.8934957500317,874.394915748331
80,80,0.955173656058,0.755551995391,0.427725549174,0.169362170999,1932.1839467036712,917.6853667019705
90,90,0.959154008509,0.77335893815,0.451460847384,0.18586653339,1966.9657413155207,952.46716131382
100,100,0.961953274766,0.784650738041,0.471731179089,0.202087597184,1994.5406917233756,980.0421117216749
110,110,0.962904221699,0.792709066579,0.484627665871,0.214303584037,2015.9621957700688,1001.4636157683681
120,120,0.963303885612,0.79679200132,0.495809022139,0.225072636579,2032.1012380689926,1017.6026580672919
130,130,0.96328048347,0.799221865378,0.502582524695,0.233615515092,2043.691965986467,1029.1933859847663
140,140,0.962611933422,0.800180821044,0.506903755283,0.239630933785,2051.3632082880217,1036.864628286321
150,150,0.961925613684,0.801140473816,0.511874737131,0.24488558912,2055.660393846638,1041.1618138449371
160,160,0.961393426165,0.799454346997,0.509535477067,0.246787202251,2057.061419678161,1042.5628396764605
170,170,0.959346509975,0.795636082416,0.508820874087,0.247027653809,2055.9887501618014,1041.4901701601007
180,180,0.958130929557,0.792763098764,0.50825627023,0.246498322509,2052.819040454663,1038.3204604529624
190,190,0.957180754404,0.789174213301,0.501642410732,0.245821375263,2047.8906663222263,1033.3920863205256
200,200,0.955429051153,0.788170480064,0.499991782781,0.24659589169,2041.509539530658,1027.0109595289573
